1:	0.875
2:	0.382812
3:	0.826935
4:	0.500898
5:	0.874997
6:	0.38282
7:	0.826941
8:	0.500884
9:	0.874997
10:	0.38282
11:	0.826941
12:	0.500884
13:	0.874997
14:	0.38282
15:	0.826941
16:	0.500884
17:	0.874997
18:	0.38282
19:	0.826941
20:	0.500884
21:	0.874997
22:	0.38282
23:	0.826941
24:	0.500884
25:	0.874997
26:	0.38282
27:	0.826941
28:	0.500884
29:	0.874997
30:	0.38282
31:	0.826941
32:	0.500884
33:	0.874997
34:	0.38282
35:	0.826941
36:	0.500884
37:	0.874997
38:	0.38282
39:	0.826941
40:	0.500884
41:	0.874997
42:	0.38282
43:	0.826941
44:	0.500884
45:	0.874997
46:	0.38282
47:	0.826941
48:	0.500884
49:	0.874997
50:	0.38282
51:	0.826941
52:	0.500884
53:	0.874997
54:	0.38282
55:	0.826941
56:	0.500884
57:	0.874997
58:	0.38282
59:	0.826941
60:	0.500884
61:	0.874997
62:	0.38282
63:	0.826941
64:	0.500884
65:	0.874997
66:	0.38282
67:	0.826941
68:	0.500884
69:	0.874997
70:	0.38282
71:	0.826941
72:	0.500884
73:	0.874997
74:	0.38282
75:	0.826941
76:	0.500884
77:	0.874997
78:	0.38282
79:	0.826941
80:	0.500884
81:	0.874997
82:	0.38282
83:	0.826941
84:	0.500884
85:	0.874997
86:	0.38282
87:	0.826941
88:	0.500884
89:	0.874997
90:	0.38282
91:	0.826941
92:	0.500884
93:	0.874997
94:	0.38282
95:	0.826941
96:	0.500884
97:	0.874997
98:	0.38282
99:	0.826941
100:	0.500884
